id,CAS_001_RAW,CAS_002_RAW,CAS_003_RAW,CAS_004_RAW,CAS_005_RAW,CAS_006_RAW,CAS_007_RAW,CAS_001_DIR,CAS_002_DIR,CAS_003_DIR,CAS_004_DIR,CAS_005_DIR,CAS_006_DIR,CAS_007_DIR,CAS_RAW_NA,CAS_DIR_NA,CAS_DIRt
d3gr4hqn2z,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,1,1,2,3,1,1,1,0,0,10
d4qoclrg90,0 No me sucede,0 No me sucede,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0,0,0,0,1,1,3,0,0,5
dbq0df9rfa,0 No me sucede,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,0,0,3,3,0,1,2,0,0,9
dmlwcyjwfw,2 A veces me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,0 No me sucede,2,1,1,3,0,3,0,0,0,10
dtpgk4je3a,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,2,1,3,2,3,3,1,0,0,15
dygujm00v6,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,0 No me sucede,0,1,0,0,3,3,0,0,0,7
e4jxvwy2w0,1 Casi nunca me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,1,1,0,2,3,2,1,0,0,10
el7knnbhqc,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,0,0,1,2,3,0,1,0,0,7
er00j5kzhv,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1,1,3,1,2,1,3,0,0,12
f434fd4yec,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,0,2,3,1,2,3,1,0,0,12
fkw2jdm33r,1 Casi nunca me sucede,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,2 A veces me sucede,1,1,0,1,2,0,2,0,0,7
fp5c2zkmq4,0 No me sucede,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,0,0,3,1,2,1,0,0,0,7
fu71sdtqp7,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,3,3,3,0,0,1,0,0,0,10
g4bda40oys,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,0 No me sucede,0 No me sucede,0,2,3,0,3,0,0,0,0,8
gfna40535s,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,1,0,1,1,3,3,3,0,0,12
gl63qscfdn,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,3,0,2,0,0,1,2,0,0,8
gwym2q1qky,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,0 No me sucede,0 No me sucede,1,3,1,0,0,0,0,0,0,5
h1x9g6sjrs,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,3 Me sucede mucho,3,2,3,0,1,0,3,0,0,12
h8dfofhvsb,2 A veces me sucede,2 A veces me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,0 No me sucede,2,2,0,0,3,3,0,0,0,10
hdtb13mmor,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0,1,0,1,1,1,3,0,0,7
hjk5lhv6bh,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,0 No me sucede,2,0,3,2,3,0,0,0,0,10
hnwz3n1x6l,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,3,3,3,3,2,2,1,0,0,17
hov7c4x4b9,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,2,2,1,3,2,3,2,0,0,15
hvb9n26qad,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,2,2,1,2,0,3,2,0,0,12
hxjxf5t7sf,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,3,3,3,1,2,2,1,0,0,15
hzxmlt4vqa,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,2,0,1,3,1,3,2,0,0,12
jxavvx33u1,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,2 A veces me sucede,0 No me sucede,1,0,1,2,0,2,0,0,0,6
k5jdafw8jo,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,2,3,1,1,1,3,0,0,0,11
k61mmqq74b,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,0,3,3,3,2,0,1,0,0,12
kcjs9my0kw,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,3,2,0,0,3,2,3,0,0,13
kcuj05m365,0 No me sucede,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,0,0,2,3,2,3,0,0,0,10
kdf65a9ce8,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,1,2,2,2,3,2,3,0,0,15
kjtm4pkgfv,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,0,2,1,0,0,0,3,0,0,6
ks5az3o4qg,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,3 Me sucede mucho,0,3,3,2,1,0,3,0,0,12
ktyyhwndcl,3 Me sucede mucho,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,0 No me sucede,3,0,0,1,0,2,0,0,0,6
kyvg85eh82,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,0,2,3,0,2,2,3,0,0,12
l718otr1d9,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,3,0,2,2,3,1,3,0,0,14
ld3zyo4e32,3 Me sucede mucho,3 Me sucede mucho,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,3,3,0,0,1,2,2,0,0,11
loaudn7e5x,0 No me sucede,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0,2,0,3,0,1,3,0,0,9
lpzhvsyeyd,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,1 Casi nunca me sucede,3,3,1,3,3,1,1,0,0,15
m3jcfwu8pf,2 A veces me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,0 No me sucede,2,1,1,1,3,1,0,0,0,9
m6s8gpnokc,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,3,2,0,3,1,2,3,0,0,14
m81yy8xu1v,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,1,1,1,2,0,3,2,0,0,10
m86u820c0d,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,3,2,2,0,3,0,1,0,0,11
mdazzxxxzv,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,3,0,3,2,2,1,0,0,0,11
mfex11day9,1 Casi nunca me sucede,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,1,0,3,1,0,0,3,0,0,8
mxblx7zq49,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,3,1,2,1,0,2,3,0,0,12
narw3xkj0g,3 Me sucede mucho,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,0 No me sucede,3,3,2,3,0,2,0,0,0,13
ndy1kjrt2x,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,2,0,3,2,1,0,2,0,0,10
nhpl9mxmjt,3 Me sucede mucho,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,3,1,0,2,2,3,0,0,0,11
o04nf6v0nv,3 Me sucede mucho,0 No me sucede,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,3,0,0,3,1,2,3,0,0,12
o3c4rl62a2,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,1,0,1,3,3,2,2,0,0,12
oakkqwsul4,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,0 No me sucede,3 Me sucede mucho,0 No me sucede,0 No me sucede,1,3,0,0,3,0,0,0,0,7
oce5txv2mw,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,0 No me sucede,2,2,1,3,2,2,0,0,0,12
p4kyau28we,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,2,2,3,3,3,0,3,0,0,16
p5aooz09fr,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,0 No me sucede,0,1,1,1,0,0,0,0,0,3
p7tf9t3wdm,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,0,2,3,2,1,2,3,0,0,13
phk1orszsr,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,3,0,1,2,1,0,1,0,0,8
pjx4no33pr,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,2,0,3,3,1,2,3,0,0,14
pp74ytekor,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,1,3,0,3,3,3,1,0,0,14
pq7v2hw009,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,0 No me sucede,0 No me sucede,0,1,2,3,0,0,0,0,0,6
pruxnqgcbg,0 No me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,0 No me sucede,0,2,2,3,2,0,0,0,0,9
pwq2s8v657,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,1,3,1,3,2,3,2,0,0,15
q0vest97y2,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,0 No me sucede,3,2,2,3,0,2,0,0,0,12
q6ha3r44px,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,1,3,2,1,0,0,1,0,0,8
qmhcr11zof,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1,2,1,0,2,1,3,0,0,10
qn3v3he69v,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,1,0,1,3,1,1,1,0,0,8
qra8ncc4q5,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,2,1,0,2,1,1,3,0,0,10
